"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
<br />
Workers in the Agricultural, Extraction, and Utilities industries, as well as those employed by the military, make up less than 0.5% of the citywide population of workers and are omitted from the data."
"Source Notes","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table S2403 (2010, 2015, 2020, 2021); retrieved from&nbsp;<a href=""https://data.census.gov/"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","According to the Census Bureau, overlapping datasets should not be compared. To track change over time compare non-overlapping datasets, such as  2010-2015 ACS 5-year estimates compared to 2016-2020 ACS 5-year estimates."

Location,Industry,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Construction and Manufacturing,2010,Number,2017.60393,101
Greenwich Village,Construction and Manufacturing,2010,Number,2978.39607,102
Lower East Side,Construction and Manufacturing,2010,Number,5711,103
Chelsea/Clinton,Construction and Manufacturing,2010,Number,2762.43254,104
Midtown Business District,Construction and Manufacturing,2010,Number,1382.56746,105
Murray Hill/Stuyvesant,Construction and Manufacturing,2010,Number,4283,106
Upper West Side,Construction and Manufacturing,2010,Number,4719,107
Upper East Side,Construction and Manufacturing,2010,Number,5590,108
Manhattanville,Construction and Manufacturing,2010,Number,3212,109
Central Harlem,Construction and Manufacturing,2010,Number,2762,110
East Harlem,Construction and Manufacturing,2010,Number,2257,111
Washington Heights,Construction and Manufacturing,2010,Number,8811,112
Mott Haven,Construction and Manufacturing,2010,Number,3447.45659,201
Hunts Point,Construction and Manufacturing,2010,Number,1968.54341,202
Morrisania,Construction and Manufacturing,2010,Number,2142.41427,203
Concourse/Highbridge,Construction and Manufacturing,2010,Number,5395,204
University Heights,Construction and Manufacturing,2010,Number,4831,205
East Tremont,Construction and Manufacturing,2010,Number,2236.58573,206
Bedford Park,Construction and Manufacturing,2010,Number,4736,207
Riverdale,Construction and Manufacturing,2010,Number,3449,208
Unionport/Soundview,Construction and Manufacturing,2010,Number,7390,209
Throgs Neck,Construction and Manufacturing,2010,Number,4335,210
Pelham Parkway,Construction and Manufacturing,2010,Number,4993,211
Williamsbridge,Construction and Manufacturing,2010,Number,5283,212
Williamsburg/Greenpoint,Construction and Manufacturing,2010,Number,8240,301
