"Name","Commuting"
"Description","The share of individuals who worked in the last week (excluding those who work at home), by the reported time it usually takes to get from home to work."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08012 (2012-2019, 2021); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","Please note, we do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years."

Location,Travel Time,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Under 30 minutes,2012,Percent,0.6429,101
Greenwich Village,Under 30 minutes,2012,Percent,0.6429,102
Lower East Side,Under 30 minutes,2012,Percent,0.44275,103
Chelsea/Clinton,Under 30 minutes,2012,Percent,0.66503,104
Midtown Business District,Under 30 minutes,2012,Percent,0.66503,105
Murray Hill/Stuyvesant,Under 30 minutes,2012,Percent,0.59842,106
Upper West Side,Under 30 minutes,2012,Percent,0.45796,107
Upper East Side,Under 30 minutes,2012,Percent,0.43841,108
Manhattanville,Under 30 minutes,2012,Percent,0.34886,109
Central Harlem,Under 30 minutes,2012,Percent,0.28845,110
East Harlem,Under 30 minutes,2012,Percent,0.34176,111
Washington Heights,Under 30 minutes,2012,Percent,0.2928,112
Mott Haven,Under 30 minutes,2012,Percent,0.3021,201
Hunts Point,Under 30 minutes,2012,Percent,0.3021,202
Morrisania,Under 30 minutes,2012,Percent,0.25693,203
Concourse/Highbridge,Under 30 minutes,2012,Percent,0.27434,204
University Heights,Under 30 minutes,2012,Percent,0.26625,205
East Tremont,Under 30 minutes,2012,Percent,0.25693,206
Bedford Park,Under 30 minutes,2012,Percent,0.28013,207
Riverdale,Under 30 minutes,2012,Percent,0.29675,208
Unionport/Soundview,Under 30 minutes,2012,Percent,0.21424,209
Throgs Neck,Under 30 minutes,2012,Percent,0.31189,210
Pelham Parkway,Under 30 minutes,2012,Percent,0.34825,211
Williamsbridge,Under 30 minutes,2012,Percent,0.25831,212
Williamsburg/Greenpoint,Under 30 minutes,2012,Percent,0.37612,301
Fort Greene/Brooklyn Hts,Under 30 minutes,2012,Percent,0.30961,302
Bedford Stuyvesant,Under 30 minutes,2012,Percent,0.24708,303
Bushwick,Under 30 minutes,2012,Percent,0.24511,304
East New York,Under 30 minutes,2012,Percent,0.1656,305
Park Slope,Under 30 minutes,2012,Percent,0.26334,306
Sunset Park,Under 30 minutes,2012,Percent,0.26859,307
Crown Heights North,Under 30 minutes,2012,Percent,0.22848,308
Crown Heights South,Under 30 minutes,2012,Percent,0.24343,309
Bay Ridge,Under 30 minutes,2012,Percent,0.28073,310
Bensonhurst,Under 30 minutes,2012,Percent,0.24632,311
Borough Park,Under 30 minutes,2012,Percent,0.39026,312
Coney Island,Under 30 minutes,2012,Percent,0.28453,313
Flatbush/Midwood,Under 30 minutes,2012,Percent,0.28739,314
Sheepshead Bay,Under 30 minutes,2012,Percent,0.28556,315
Brownsville,Under 30 minutes,2012,Percent,0.21982,316
East Flatbush,Under 30 minutes,2012,Percent,0.26153,317
Canarsie,Under 30 minutes,2012,Percent,0.26352,318
Astoria,Under 30 minutes,2012,Percent,0.25622,401
Sunnyside/Woodside,Under 30 minutes,2012,Percent,0.26829,402
Jackson Heights,Under 30 minutes,2012,Percent,0.27109,403
Elmhurst/Corona,Under 30 minutes,2012,Percent,0.25115,404
Ridgewood/Glendale,Under 30 minutes,2012,Percent,0.22133,405
Rego Park/Forest Hills,Under 30 minutes,2012,Percent,0.22458,406
Flushing,Under 30 minutes,2012,Percent,0.36087,407
Fresh Meadows/Briarwood,Under 30 minutes,2012,Percent,0.28237,408
Woodhaven,Under 30 minutes,2012,Percent,0.21664,409
Howard Beach,Under 30 minutes,2012,Percent,0.29683,410
Bayside,Under 30 minutes,2012,Percent,0.3692,411
Jamaica/St. Albans,Under 30 minutes,2012,Percent,0.22321,412
Queens Village,Under 30 minutes,2012,Percent,0.29445,413
The Rockaways,Under 30 minutes,2012,Percent,0.37008,414
St. George,Under 30 minutes,2012,Percent,0.40099,501
South Beach,Under 30 minutes,2012,Percent,0.39028,502
Tottenville,Under 30 minutes,2012,Percent,0.41244,503
Bronx,Under 30 minutes,2012,Percent,0.27857,36005
Brooklyn,Under 30 minutes,2012,Percent,0.27298,36047
Manhattan,Under 30 minutes,2012,Percent,0.46504,36061
Queens,Under 30 minutes,2012,Percent,0.27747,36081
Staten Island,Under 30 minutes,2012,Percent,0.4019,36085
New York City,Under 30 minutes,2012,Percent,0.32425,3651000
Battery Park/Tribeca,An hour or more,2012,Percent,0.05566,101
Greenwich Village,An hour or more,2012,Percent,0.05566,102
Lower East Side,An hour or more,2012,Percent,0.11627,103
Chelsea/Clinton,An hour or more,2012,Percent,0.05536,104
Midtown Business District,An hour or more,2012,Percent,0.05536,105
Murray Hill/Stuyvesant,An hour or more,2012,Percent,0.0827,106
Upper West Side,An hour or more,2012,Percent,0.06982,107
Upper East Side,An hour or more,2012,Percent,0.08554,108
Manhattanville,An hour or more,2012,Percent,0.11444,109
Central Harlem,An hour or more,2012,Percent,0.17665,110
East Harlem,An hour or more,2012,Percent,0.12238,111
Washington Heights,An hour or more,2012,Percent,0.21282,112
Mott Haven,An hour or more,2012,Percent,0.27592,201
Hunts Point,An hour or more,2012,Percent,0.27592,202
Morrisania,An hour or more,2012,Percent,0.31098,203
Concourse/Highbridge,An hour or more,2012,Percent,0.24829,204
University Heights,An hour or more,2012,Percent,0.30112,205
East Tremont,An hour or more,2012,Percent,0.31098,206
Bedford Park,An hour or more,2012,Percent,0.30121,207
Riverdale,An hour or more,2012,Percent,0.31905,208
Unionport/Soundview,An hour or more,2012,Percent,0.35533,209
Throgs Neck,An hour or more,2012,Percent,0.37839,210
Pelham Parkway,An hour or more,2012,Percent,0.29924,211
Williamsbridge,An hour or more,2012,Percent,0.35881,212
Williamsburg/Greenpoint,An hour or more,2012,Percent,0.07369,301
Fort Greene/Brooklyn Hts,An hour or more,2012,Percent,0.12345,302
Bedford Stuyvesant,An hour or more,2012,Percent,0.28161,303
Bushwick,An hour or more,2012,Percent,0.19677,304
East New York,An hour or more,2012,Percent,0.25336,305
Park Slope,An hour or more,2012,Percent,0.13147,306
Sunset Park,An hour or more,2012,Percent,0.25614,307
Crown Heights North,An hour or more,2012,Percent,0.23802,308
Crown Heights South,An hour or more,2012,Percent,0.26779,309
Bay Ridge,An hour or more,2012,Percent,0.34681,310
Bensonhurst,An hour or more,2012,Percent,0.36574,311
Borough Park,An hour or more,2012,Percent,0.21248,312
Coney Island,An hour or more,2012,Percent,0.38001,313
Flatbush/Midwood,An hour or more,2012,Percent,0.24074,314
Sheepshead Bay,An hour or more,2012,Percent,0.36046,315
Brownsville,An hour or more,2012,Percent,0.34065,316
East Flatbush,An hour or more,2012,Percent,0.29993,317
Canarsie,An hour or more,2012,Percent,0.36356,318
Astoria,An hour or more,2012,Percent,0.14144,401
Sunnyside/Woodside,An hour or more,2012,Percent,0.16416,402
Jackson Heights,An hour or more,2012,Percent,0.23195,403
Elmhurst/Corona,An hour or more,2012,Percent,0.23121,404
Ridgewood/Glendale,An hour or more,2012,Percent,0.16331,405
Rego Park/Forest Hills,An hour or more,2012,Percent,0.25923,406
Flushing,An hour or more,2012,Percent,0.28217,407
Fresh Meadows/Briarwood,An hour or more,2012,Percent,0.33902,408
Woodhaven,An hour or more,2012,Percent,0.36617,409
Howard Beach,An hour or more,2012,Percent,0.35818,410
Bayside,An hour or more,2012,Percent,0.2475,411
Jamaica/St. Albans,An hour or more,2012,Percent,0.39304,412
Queens Village,An hour or more,2012,Percent,0.36098,413
The Rockaways,An hour or more,2012,Percent,0.32431,414
St. George,An hour or more,2012,Percent,0.31141,501
South Beach,An hour or more,2012,Percent,0.31525,502
Tottenville,An hour or more,2012,Percent,0.30599,503
Bronx,An hour or more,2012,Percent,0.31762,36005
Brooklyn,An hour or more,2012,Percent,0.26114,36047
Manhattan,An hour or more,2012,Percent,0.10517,36061
Queens,An hour or more,2012,Percent,0.27654,36081
Staten Island,An hour or more,2012,Percent,0.31063,36085
New York City,An hour or more,2012,Percent,0.24227,3651000
Battery Park/Tribeca,30 to 59 minutes,2012,Percent,0.30144,101
Greenwich Village,30 to 59 minutes,2012,Percent,0.30144,102
Lower East Side,30 to 59 minutes,2012,Percent,0.44099,103
Chelsea/Clinton,30 to 59 minutes,2012,Percent,0.27961,104
Midtown Business District,30 to 59 minutes,2012,Percent,0.27961,105
Murray Hill/Stuyvesant,30 to 59 minutes,2012,Percent,0.31888,106
Upper West Side,30 to 59 minutes,2012,Percent,0.47221,107
Upper East Side,30 to 59 minutes,2012,Percent,0.47605,108
Manhattanville,30 to 59 minutes,2012,Percent,0.53669,109
Central Harlem,30 to 59 minutes,2012,Percent,0.5349,110
East Harlem,30 to 59 minutes,2012,Percent,0.53586,111
