Location;Industry;TimeFrame;DataFormat;Data;Fips
Astoria;Construction and Manufacturing;2010;Number;9879;401
Astoria;Education;2010;Number;7848;401
Astoria;Health Care and Social Services;2010;Number;9032;401
Astoria;Hospitality, Accommodation, Restaurants;2010;Number;14396;401
Astoria;Information, Finance, Real Estate;2010;Number;13577;401
Astoria;Management and Professional Services;2010;Number;11029;401
Astoria;Other Services;2010;Number;5717;401
Astoria;Public Administration;2010;Number;2380;401
Astoria;Retail;2010;Number;8400;401
Astoria;Transportation, Warehousing, Wholesale;2010;Number;7706;401
Astoria;Construction and Manufacturing;2015;Number;7989;401
Astoria;Education;2015;Number;9436;401
Astoria;Health Care and Social Services;2015;Number;10899;401
Astoria;Hospitality, Accommodation, Restaurants;2015;Number;15956;401
Astoria;Information, Finance, Real Estate;2015;Number;12876;401
Astoria;Management and Professional Services;2015;Number;13999;401
Astoria;Other Services;2015;Number;6148;401
Astoria;Public Administration;2015;Number;2782;401
Astoria;Retail;2015;Number;9459;401
Astoria;Transportation, Warehousing, Wholesale;2015;Number;7096;401
Astoria;Construction and Manufacturing;2020;Number;7551;401
Astoria;Education;2020;Number;8727;401
Astoria;Health Care and Social Services;2020;Number;9553;401
Astoria;Hospitality, Accommodation, Restaurants;2020;Number;13802;401
Astoria;Information, Finance, Real Estate;2020;Number;14845;401
Astoria;Management and Professional Services;2020;Number;16492;401
Astoria;Other Services;2020;Number;4877;401
Astoria;Public Administration;2020;Number;2679;401
Astoria;Retail;2020;Number;7910;401
Astoria;Transportation, Warehousing, Wholesale;2020;Number;6442;401
Astoria;Construction and Manufacturing;2021;Number;7418;401
Astoria;Education;2021;Number;9241;401
Astoria;Health Care and Social Services;2021;Number;9826;401
Astoria;Hospitality, Accommodation, Restaurants;2021;Number;13085;401
Astoria;Information, Finance, Real Estate;2021;Number;14834;401
Astoria;Management and Professional Services;2021;Number;17302;401
Astoria;Other Services;2021;Number;4867;401
Astoria;Public Administration;2021;Number;2877;401
Astoria;Retail;2021;Number;7661;401
Astoria;Transportation, Warehousing, Wholesale;2021;Number;6655;401
Battery Park/Tribeca;Construction and Manufacturing;2010;Number;2017,60393;101
Battery Park/Tribeca;Education;2010;Number;3517,07619;101
Battery Park/Tribeca;Health Care and Social Services;2010;Number;2273,64094;101
Battery Park/Tribeca;Hospitality, Accommodation, Restaurants;2010;Number;3408,84603;101
Battery Park/Tribeca;Information, Finance, Real Estate;2010;Number;11129,53297;101
Battery Park/Tribeca;Management and Professional Services;2010;Number;8465,37502;101
Battery Park/Tribeca;Other Services;2010;Number;968,01374;101
Battery Park/Tribeca;Public Administration;2010;Number;692,99607;101
Battery Park/Tribeca;Retail;2010;Number;2516,75494;101
Battery Park/Tribeca;Transportation, Warehousing, Wholesale;2010;Number;1204,66624;101
Battery Park/Tribeca;Construction and Manufacturing;2015;Number;1296,74264;101
Battery Park/Tribeca;Education;2015;Number;3345,84639;101
Battery Park/Tribeca;Health Care and Social Services;2015;Number;2858,40685;101
Battery Park/Tribeca;Hospitality, Accommodation, Restaurants;2015;Number;3008,63677;101
Battery Park/Tribeca;Information, Finance, Real Estate;2015;Number;12662,52427;101
Battery Park/Tribeca;Management and Professional Services;2015;Number;10334,36441;101
Battery Park/Tribeca;Other Services;2015;Number;1051,20557;101
Battery Park/Tribeca;Public Administration;2015;Number;695,82297;101
Battery Park/Tribeca;Retail;2015;Number;2743,71519;101
Battery Park/Tribeca;Transportation, Warehousing, Wholesale;2015;Number;1302,39645;101
Battery Park/Tribeca;Construction and Manufacturing;2020;Number;1293,91573;101
Battery Park/Tribeca;Education;2020;Number;3690,3252;101
Battery Park/Tribeca;Health Care and Social Services;2020;Number;3079,71329;101
Battery Park/Tribeca;Hospitality, Accommodation, Restaurants;2020;Number;3224,28939;101
Battery Park/Tribeca;Information, Finance, Real Estate;2020;Number;13065,96429;101
Battery Park/Tribeca;Management and Professional Services;2020;Number;10234,61498;101
Battery Park/Tribeca;Other Services;2020;Number;1167,5126;101
Battery Park/Tribeca;Public Administration;2020;Number;664,727;101
Battery Park/Tribeca;Retail;2020;Number;2687,98474;101
Battery Park/Tribeca;Transportation, Warehousing, Wholesale;2020;Number;1133,99356;101
Battery Park/Tribeca;Construction and Manufacturing;2021;Number;1271,30048;101
Battery Park/Tribeca;Education;2021;Number;3800,57458;101
Battery Park/Tribeca;Health Care and Social Services;2021;Number;3109,59773;101
Battery Park/Tribeca;Hospitality, Accommodation, Restaurants;2021;Number;3344,63486;101
Battery Park/Tribeca;Information, Finance, Real Estate;2021;Number;13185,09823;101
Battery Park/Tribeca;Management and Professional Services;2021;Number;10216,84585;101
Battery Park/Tribeca;Other Services;2021;Number;1251,51213;101
Battery Park/Tribeca;Public Administration;2021;Number;890,87956;101
Battery Park/Tribeca;Retail;2021;Number;2766,33045;101
Battery Park/Tribeca;Transportation, Warehousing, Wholesale;2021;Number;1241,81987;101
Bay Ridge;Construction and Manufacturing;2010;Number;7535;310
Bay Ridge;Education;2010;Number;6193;310
Bay Ridge;Health Care and Social Services;2010;Number;8116;310
Bay Ridge;Hospitality, Accommodation, Restaurants;2010;Number;4866;310
Bay Ridge;Information, Finance, Real Estate;2010;Number;8705;310
Bay Ridge;Management and Professional Services;2010;Number;6169;310
Bay Ridge;Other Services;2010;Number;2733;310
Bay Ridge;Public Administration;2010;Number;3205;310
Bay Ridge;Retail;2010;Number;4919;310
Bay Ridge;Transportation, Warehousing, Wholesale;2010;Number;4067;310
Bay Ridge;Construction and Manufacturing;2015;Number;6291;310
Bay Ridge;Education;2015;Number;6151;310
Bay Ridge;Health Care and Social Services;2015;Number;8472;310
Bay Ridge;Hospitality, Accommodation, Restaurants;2015;Number;6993;310
Bay Ridge;Information, Finance, Real Estate;2015;Number;8254;310
Bay Ridge;Management and Professional Services;2015;Number;6924;310
Bay Ridge;Other Services;2015;Number;3446;310
Bay Ridge;Public Administration;2015;Number;3005;310
Bay Ridge;Retail;2015;Number;5723;310
Bay Ridge;Transportation, Warehousing, Wholesale;2015;Number;4598;310
Bay Ridge;Construction and Manufacturing;2020;Number;5719;310
Bay Ridge;Education;2020;Number;7393;310
Bay Ridge;Health Care and Social Services;2020;Number;9161;310
Bay Ridge;Hospitality, Accommodation, Restaurants;2020;Number;5674;310
Bay Ridge;Information, Finance, Real Estate;2020;Number;8001;310
Bay Ridge;Management and Professional Services;2020;Number;7507;310
Bay Ridge;Other Services;2020;Number;2709;310
Bay Ridge;Public Administration;2020;Number;3064;310
Bay Ridge;Retail;2020;Number;5489;310
Bay Ridge;Transportation, Warehousing, Wholesale;2020;Number;4178;310
Bay Ridge;Construction and Manufacturing;2021;Number;5819;310
Bay Ridge;Education;2021;Number;7544;310
Bay Ridge;Health Care and Social Services;2021;Number;10088;310
Bay Ridge;Hospitality, Accommodation, Restaurants;2021;Number;5565;310
Bay Ridge;Information, Finance, Real Estate;2021;Number;8008;310
Bay Ridge;Management and Professional Services;2021;Number;8536;310
Bay Ridge;Other Services;2021;Number;2826;310
Bay Ridge;Public Administration;2021;Number;3131;310
Bay Ridge;Retail;2021;Number;5632;310
Bay Ridge;Transportation, Warehousing, Wholesale;2021;Number;4516;310
Bayside;Construction and Manufacturing;2010;Number;5517;411
Bayside;Education;2010;Number;6555;411
Bayside;Health Care and Social Services;2010;Number;7137;411
Bayside;Hospitality, Accommodation, Restaurants;2010;Number;4371;411
Bayside;Information, Finance, Real Estate;2010;Number;9052;411
Bayside;Management and Professional Services;2010;Number;5999;411
Bayside;Other Services;2010;Number;4112;411
Bayside;Public Administration;2010;Number;2462;411
Bayside;Retail;2010;Number;6026;411
Bayside;Transportation, Warehousing, Wholesale;2010;Number;6138;411
Bayside;Construction and Manufacturing;2015;Number;5903;411
Bayside;Education;2015;Number;6074;411
Bayside;Health Care and Social Services;2015;Number;8609;411
Bayside;Hospitality, Accommodation, Restaurants;2015;Number;5055;411
Bayside;Information, Finance, Real Estate;2015;Number;8220;411
Bayside;Management and Professional Services;2015;Number;6627;411
Bayside;Other Services;2015;Number;4304;411
Bayside;Public Administration;2015;Number;2422;411
Bayside;Retail;2015;Number;6196;411
Bayside;Transportation, Warehousing, Wholesale;2015;Number;5492;411
Bayside;Construction and Manufacturing;2020;Number;5076;411
Bayside;Education;2020;Number;6430;411
Bayside;Health Care and Social Services;2020;Number;8681;411
Bayside;Hospitality, Accommodation, Restaurants;2020;Number;4264;411
Bayside;Information, Finance, Real Estate;2020;Number;8256;411
Bayside;Management and Professional Services;2020;Number;6970;411
Bayside;Other Services;2020;Number;3848;411
Bayside;Public Administration;2020;Number;2849;411
Bayside;Retail;2020;Number;5745;411
Bayside;Transportation, Warehousing, Wholesale;2020;Number;5223;411
Bayside;Construction and Manufacturing;2021;Number;5819;411
Bayside;Education;2021;Number;6693;411
Bayside;Health Care and Social Services;2021;Number;9648;411
Bayside;Hospitality, Accommodation, Restaurants;2021;Number;4977;411
Bayside;Information, Finance, Real Estate;2021;Number;8122;411
Bayside;Management and Professional Services;2021;Number;7639;411
Bayside;Other Services;2021;Number;3838;411
Bayside;Public Administration;2021;Number;2936;411
Bayside;Retail;2021;Number;5837;411
Bayside;Transportation, Warehousing, Wholesale;2021;Number;5200;411
Bedford Park;Construction and Manufacturing;2010;Number;4736;207
Bedford Park;Education;2010;Number;3478;207
Bedford Park;Health Care and Social Services;2010;Number;9961;207
Bedford Park;Hospitality, Accommodation, Restaurants;2010;Number;5348;207
Bedford Park;Information, Finance, Real Estate;2010;Number;5040;207
Bedford Park;Management and Professional Services;2010;Number;3784;207
Bedford Park;Other Services;2010;Number;3450;207
Bedford Park;Public Administration;2010;Number;1316;207
Bedford Park;Retail;2010;Number;7661;207
Bedford Park;Transportation, Warehousing, Wholesale;2010;Number;4193;207
Bedford Park;Construction and Manufacturing;2015;Number;5432;207
Bedford Park;Education;2015;Number;3477;207
Bedford Park;Health Care and Social Services;2015;Number;11951;207
Bedford Park;Hospitality, Accommodation, Restaurants;2015;Number;7164;207
Bedford Park;Information, Finance, Real Estate;2015;Number;4205;207
Bedford Park;Management and Professional Services;2015;Number;4275;207
Bedford Park;Other Services;2015;Number;3434;207
Bedford Park;Public Administration;2015;Number;1349;207
Bedford Park;Retail;2015;Number;7307;207
Bedford Park;Transportation, Warehousing, Wholesale;2015;Number;3841;207
Bedford Park;Construction and Manufacturing;2020;Number;5494;207
Bedford Park;Education;2020;Number;3751;207
Bedford Park;Health Care and Social Services;2020;Number;13707;207
Bedford Park;Hospitality, Accommodation, Restaurants;2020;Number;8334;207
Bedford Park;Information, Finance, Real Estate;2020;Number;4207;207
Bedford Park;Management and Professional Services;2020;Number;5177;207
Bedford Park;Other Services;2020;Number;4039;207
Bedford Park;Public Administration;2020;Number;1255;207
Bedford Park;Retail;2020;Number;6672;207
Bedford Park;Transportation, Warehousing, Wholesale;2020;Number;5127;207
Bedford Park;Construction and Manufacturing;2021;Number;5153;207
Bedford Park;Education;2021;Number;4061;207
Bedford Park;Health Care and Social Services;2021;Number;14655;207
Bedford Park;Hospitality, Accommodation, Restaurants;2021;Number;7396;207
Bedford Park;Information, Finance, Real Estate;2021;Number;4601;207
Bedford Park;Management and Professional Services;2021;Number;4987;207
Bedford Park;Other Services;2021;Number;4315;207
Bedford Park;Public Administration;2021;Number;1219;207
Bedford Park;Retail;2021;Number;6893;207
Bedford Park;Transportation, Warehousing, Wholesale;2021;Number;5254;207
Bedford Stuyvesant;Construction and Manufacturing;2010;Number;4073;303
Bedford Stuyvesant;Education;2010;Number;4719;303
Bedford Stuyvesant;Health Care and Social Services;2010;Number;10341;303
Bedford Stuyvesant;Hospitality, Accommodation, Restaurants;2010;Number;4098;303
Bedford Stuyvesant;Information, Finance, Real Estate;2010;Number;5763;303
Bedford Stuyvesant;Management and Professional Services;2010;Number;5267;303
Bedford Stuyvesant;Other Services;2010;Number;2404;303
Bedford Stuyvesant;Public Administration;2010;Number;3236;303
Bedford Stuyvesant;Retail;2010;Number;5311;303
Bedford Stuyvesant;Transportation, Warehousing, Wholesale;2010;Number;4459;303
Bedford Stuyvesant;Construction and Manufacturing;2015;Number;3961;303
Bedford Stuyvesant;Education;2015;Number;6491;303
Bedford Stuyvesant;Health Care and Social Services;2015;Number;10375;303
Bedford Stuyvesant;Hospitality, Accommodation, Restaurants;2015;Number;6407;303
Bedford Stuyvesant;Information, Finance, Real Estate;2015;Number;6124;303
Bedford Stuyvesant;Management and Professional Services;2015;Number;7156;303
Bedford Stuyvesant;Other Services;2015;Number;2919;303
Bedford Stuyvesant;Public Administration;2015;Number;2696;303
Bedford Stuyvesant;Retail;2015;Number;6333;303
Bedford Stuyvesant;Transportation, Warehousing, Wholesale;2015;Number;4699;303
