Location;Means of Transportation;TimeFrame;DataFormat;Data;Fips
Astoria;Work at Home;2012;Percent;0,03064;401
Astoria;Walking;2012;Percent;0,06768;401
Astoria;Public Transit;2012;Percent;0,69676;401
Astoria;Driving Alone;2012;Percent;0,15037;401
Astoria;Carpool, Taxi, Other;2012;Percent;0,04389;401
Astoria;Bicycle;2012;Percent;0,01065;401
Battery Park/Tribeca;Bicycle;2012;Percent;0,01297;101
Battery Park/Tribeca;Carpool, Taxi, Other;2012;Percent;0,05742;101
Battery Park/Tribeca;Driving Alone;2012;Percent;0,04659;101
Battery Park/Tribeca;Public Transit;2012;Percent;0,55983;101
Battery Park/Tribeca;Walking;2012;Percent;0,24684;101
Battery Park/Tribeca;Work at Home;2012;Percent;0,07636;101
Bay Ridge;Work at Home;2012;Percent;0,0321;310
Bay Ridge;Walking;2012;Percent;0,08849;310
Bay Ridge;Public Transit;2012;Percent;0,53725;310
Bay Ridge;Driving Alone;2012;Percent;0,26756;310
Bay Ridge;Carpool, Taxi, Other;2012;Percent;0,06692;310
Bay Ridge;Bicycle;2012;Percent;0,00769;310
Bayside;Work at Home;2012;Percent;0,04393;411
Bayside;Walking;2012;Percent;0,03328;411
Bayside;Public Transit;2012;Percent;0,26122;411
Bayside;Driving Alone;2012;Percent;0,54344;411
Bayside;Carpool, Taxi, Other;2012;Percent;0,11766;411
Bayside;Bicycle;2012;Percent;0,00047;411
Bedford Park;Work at Home;2012;Percent;0,03743;207
Bedford Park;Walking;2012;Percent;0,07194;207
Bedford Park;Public Transit;2012;Percent;0,68364;207
Bedford Park;Driving Alone;2012;Percent;0,13328;207
Bedford Park;Carpool, Taxi, Other;2012;Percent;0,07076;207
Bedford Park;Bicycle;2012;Percent;0,00295;207
Bedford Stuyvesant;Bicycle;2012;Percent;0,03727;303
Bedford Stuyvesant;Carpool, Taxi, Other;2012;Percent;0,03745;303
Bedford Stuyvesant;Driving Alone;2012;Percent;0,14991;303
Bedford Stuyvesant;Public Transit;2012;Percent;0,64884;303
Bedford Stuyvesant;Walking;2012;Percent;0,08652;303
Bedford Stuyvesant;Work at Home;2012;Percent;0,04001;303
Bensonhurst;Bicycle;2012;Percent;0,00328;311
Bensonhurst;Carpool, Taxi, Other;2012;Percent;0,05589;311
Bensonhurst;Driving Alone;2012;Percent;0,21993;311
Bensonhurst;Public Transit;2012;Percent;0,63064;311
Bensonhurst;Walking;2012;Percent;0,06667;311
Bensonhurst;Work at Home;2012;Percent;0,02359;311
Borough Park;Work at Home;2012;Percent;0,04039;312
Borough Park;Walking;2012;Percent;0,18571;312
Borough Park;Public Transit;2012;Percent;0,4398;312
Borough Park;Driving Alone;2012;Percent;0,2383;312
Borough Park;Carpool, Taxi, Other;2012;Percent;0,07859;312
Borough Park;Bicycle;2012;Percent;0,01721;312
Brownsville;Work at Home;2012;Percent;0,03538;316
Brownsville;Walking;2012;Percent;0,06482;316
Brownsville;Public Transit;2012;Percent;0,66689;316
Brownsville;Driving Alone;2012;Percent;0,17649;316
Brownsville;Carpool, Taxi, Other;2012;Percent;0,04879;316
Brownsville;Bicycle;2012;Percent;0,00763;316
Bushwick;Work at Home;2012;Percent;0,02554;304
Bushwick;Walking;2012;Percent;0,0999;304
Bushwick;Public Transit;2012;Percent;0,70172;304
Bushwick;Driving Alone;2012;Percent;0,11348;304
Bushwick;Carpool, Taxi, Other;2012;Percent;0,02835;304
Bushwick;Bicycle;2012;Percent;0,03101;304
Canarsie;Work at Home;2012;Percent;0,01665;318
Canarsie;Walking;2012;Percent;0,03174;318
Canarsie;Public Transit;2012;Percent;0,48179;318
Canarsie;Driving Alone;2012;Percent;0,38738;318
Canarsie;Carpool, Taxi, Other;2012;Percent;0,08005;318
Canarsie;Bicycle;2012;Percent;0,0024;318
Central Harlem;Work at Home;2012;Percent;0,08965;110
Central Harlem;Walking;2012;Percent;0,05872;110
Central Harlem;Public Transit;2012;Percent;0,73743;110
Central Harlem;Driving Alone;2012;Percent;0,07156;110
Central Harlem;Carpool, Taxi, Other;2012;Percent;0,03434;110
Central Harlem;Bicycle;2012;Percent;0,00829;110
Chelsea/Clinton;Work at Home;2012;Percent;0,07419;104
Chelsea/Clinton;Walking;2012;Percent;0,3436;104
Chelsea/Clinton;Public Transit;2012;Percent;0,45812;104
Chelsea/Clinton;Driving Alone;2012;Percent;0,04852;104
Chelsea/Clinton;Carpool, Taxi, Other;2012;Percent;0,06207;104
Chelsea/Clinton;Bicycle;2012;Percent;0,0135;104
Concourse/Highbridge;Bicycle;2012;Percent;0,00352;204
Concourse/Highbridge;Carpool, Taxi, Other;2012;Percent;0,07088;204
Concourse/Highbridge;Driving Alone;2012;Percent;0,18284;204
Concourse/Highbridge;Public Transit;2012;Percent;0,64187;204
Concourse/Highbridge;Walking;2012;Percent;0,05831;204
Concourse/Highbridge;Work at Home;2012;Percent;0,04258;204
Coney Island;Bicycle;2012;Percent;0,00635;313
Coney Island;Carpool, Taxi, Other;2012;Percent;0,08416;313
Coney Island;Driving Alone;2012;Percent;0,25206;313
Coney Island;Public Transit;2012;Percent;0,53058;313
Coney Island;Walking;2012;Percent;0,10601;313
Coney Island;Work at Home;2012;Percent;0,02085;313
Crown Heights North;Work at Home;2012;Percent;0,04467;308
Crown Heights North;Walking;2012;Percent;0,05671;308
Crown Heights North;Public Transit;2012;Percent;0,69827;308
Crown Heights North;Driving Alone;2012;Percent;0,14452;308
Crown Heights North;Carpool, Taxi, Other;2012;Percent;0,02993;308
Crown Heights North;Bicycle;2012;Percent;0,0259;308
Crown Heights South;Bicycle;2012;Percent;0,00311;309
Crown Heights South;Carpool, Taxi, Other;2012;Percent;0,04122;309
Crown Heights South;Driving Alone;2012;Percent;0,11355;309
