Location;TimeFrame;DataFormat;Data;Fips
Astoria;2018;Number;87438;401
Battery Park/Tribeca;2018;Number;43892;101
Bay Ridge;2018;Number;52070;310
Bayside;2018;Number;45165;411
Bedford Park;2018;Number;51982;207
Bedford Stuyvesant;2018;Number;70496;303
Bensonhurst;2018;Number;68083;311
Borough Park;2018;Number;60383;312
Brownsville;2018;Number;36432;316
Bushwick;2018;Number;43056;304
Canarsie;2018;Number;65237;318
Central Harlem;2018;Number;59541;110
Chelsea/Clinton;2018;Number;85163;104
Concourse/Highbridge;2018;Number;51894;204
Coney Island;2018;Number;46421;313
Crown Heights North;2018;Number;47264;308
Crown Heights South;2018;Number;40354;309
East Flatbush;2018;Number;58120;317
East Harlem;2018;Number;56990;111
East New York;2018;Number;65804;305
East Tremont;2018;Number;33005;206
Elmhurst/Corona;2018;Number;53618;404
Flatbush/Midwood;2018;Number;61310;314
Flushing;2018;Number;96260;407
Fort Greene/Brooklyn Hts;2018;Number;68650;302
Fresh Meadows/Briarwood;2018;Number;59030;408
Greenwich Village;2018;Number;57146;102
Howard Beach;2018;Number;39195;410
Hunts Point;2018;Number;20123;202
Jackson Heights;2018;Number;52882;403
Jamaica/St. Albans;2018;Number;76920;412
Lower East Side;2018;Number;81404;103
Manhattanville;2018;Number;45495;109
Midtown Business District;2018;Number;47373;105
Morrisania;2018;Number;34238;203
Mott Haven;2018;Number;39063;201
Murray Hill/Stuyvesant;2018;Number;99362;106
Park Slope;2018;Number;54529;306
Pelham Parkway;2018;Number;52744;211
Queens Village;2018;Number;60793;413
Rego Park/Forest Hills;2018;Number;55744;406
Ridgewood/Glendale;2018;Number;66329;405
Riverdale;2018;Number;44172;208
Sheepshead Bay;2018;Number;64756;315
South Beach;2018;Number;48732;502
St. George;2018;Number;65009;501
Sunnyside/Woodside;2018;Number;67243;402
Sunset Park;2018;Number;41436;307
The Rockaways;2018;Number;45804;414
Throgs Neck;2018;Number;49638;210
Tottenville;2018;Number;60847;503
Unionport/Soundview;2018;Number;64871;209
University Heights;2018;Number;51169;205
Upper East Side;2018;Number;149217;108
Upper West Side;2018;Number;127516;107
Washington Heights;2018;Number;72895;112
Williamsbridge;2018;Number;54941;212
Williamsburg/Greenpoint;2018;Number;86107;301
Woodhaven;2018;Number;46203;409
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
