PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
1,EWR,Newark Airport,23649,11929,103,8654
2,Queens,Jamaica Bay,33,411,33,106
3,Bronx,Allerton/Pelham Gardens,42514,434962,6854,2426
4,Manhattan,Alphabet City,99054,989488,306,143783
5,Staten Island,Arden Heights,8616,52190,72,393
6,Staten Island,Arrochar/Fort Wadsworth,10510,95243,86,266
7,Queens,Astoria,268194,2284990,250356,119932
8,Queens,Astoria Park,1203,9059,105,1162
9,Queens,Auburndale,25611,194649,4118,1680
10,Queens,Baisley Park,55228,632352,9040,32707
11,Brooklyn,Bath Beach,24014,231060,4337,1718
12,Manhattan,Battery Park,4256,39074,22,37004
13,Manhattan,Battery Park City,143552,1248718,115,738874
14,Brooklyn,Bay Ridge,106173,1176998,20438,9025
15,Queens,Bay Terrace/Fort Totten,36253,143136,2214,1737
16,Queens,Bayside,56883,461406,4854,2769
17,Brooklyn,Bedford,187134,2071716,41662,16853
18,Bronx,Bedford Park,100294,1024049,12673,3318
19,Queens,Bellerose,14528,146735,3486,2182
20,Bronx,Belmont,60790,643458,7018,1929
21,Brooklyn,Bensonhurst East,57899,555697,8927,3691
22,Brooklyn,Bensonhurst West,71223,733614,10972,4553
23,Staten Island,Bloomfield/Emerson Hill,29943,273439,225,619
24,Manhattan,Bloomingdale,35868,397719,21639,250241
25,Brooklyn,Boerum Hill,126292,1312069,117015,73460
26,Brooklyn,Borough Park,102890,1065609,15046,7173
27,Queens,Breezy Point/Fort Tilden/Riis Beach,649,18477,189,168
28,Queens,Briarwood/Jamaica Hills,38119,436104,9038,12913
29,Brooklyn,Brighton Beach,48461,413369,10477,2751
30,Queens,Broad Channel,693,9411,114,105
31,Bronx,Bronx Park,12047,93036,2351,619
32,Bronx,Bronxdale,50181,512639,9164,3248
33,Brooklyn,Brooklyn Heights,108465,1165374,146314,84487
34,Brooklyn,Brooklyn Navy Yard,16880,191234,2081,1960
35,Brooklyn,Brownsville,114400,1281724,26012,10946
36,Brooklyn,Bushwick North,200579,1950479,15110,7955
37,Brooklyn,Bushwick South,236764,2575964,18072,15533
38,Queens,Cambria Heights,16735,190735,4780,2614
39,Brooklyn,Canarsie,146173,1610372,26058,11762
40,Brooklyn,Carroll Gardens,57728,654786,26875,36800
