PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
1,EWR,Newark Airport,5755,3794,26,2114
2,Queens,Jamaica Bay,53,377,1,25
3,Bronx,Allerton/Pelham Gardens,6214,360615,2405,1865
4,Manhattan,Alphabet City,3069,519886,405,35561
5,Staten Island,Arden Heights,3111,35695,49,109
6,Staten Island,Arrochar/Fort Wadsworth,8818,69935,39,142
7,Queens,Astoria,54446,1369757,46945,34971
8,Queens,Astoria Park,235,5434,27,263
9,Queens,Auburndale,8295,106320,1551,1234
10,Queens,Baisley Park,8272,511265,3698,8864
11,Brooklyn,Bath Beach,7289,164583,1366,983
12,Manhattan,Battery Park,69,12384,6,5867
13,Manhattan,Battery Park City,10034,533884,83,154655
14,Brooklyn,Bay Ridge,11591,772572,6643,4893
15,Queens,Bay Terrace/Fort Totten,14450,81954,706,846
16,Queens,Bayside,12492,247960,1573,1447
17,Brooklyn,Bedford,8457,1449795,11835,8815
18,Bronx,Bedford Park,13992,893086,4913,3417
19,Queens,Bellerose,2500,95658,1077,1005
20,Bronx,Belmont,8342,509178,2509,1963
21,Brooklyn,Bensonhurst East,13065,391958,2495,1956
22,Brooklyn,Bensonhurst West,13466,501886,3705,2826
23,Staten Island,Bloomfield/Emerson Hill,10547,186996,296,580
24,Manhattan,Bloomingdale,1302,237053,6028,91405
25,Brooklyn,Boerum Hill,6529,743909,27544,19852
26,Brooklyn,Borough Park,11056,785711,4577,4483
27,Queens,Breezy Point/Fort Tilden/Riis Beach,192,15972,83,117
28,Queens,Briarwood/Jamaica Hills,4607,315179,2552,4421
29,Brooklyn,Brighton Beach,31239,294181,3647,2590
30,Queens,Broad Channel,322,6475,28,20
31,Bronx,Bronx Park,1175,64876,416,346
32,Bronx,Bronxdale,8165,473041,3151,2558
33,Brooklyn,Brooklyn Heights,7557,619701,31764,20506
34,Brooklyn,Brooklyn Navy Yard,307,115610,1092,1950
35,Brooklyn,Brownsville,18023,1246745,9468,10123
36,Brooklyn,Bushwick North,11385,1168458,3260,3570
37,Brooklyn,Bushwick South,10799,1778620,5905,9507
38,Queens,Cambria Heights,1838,160290,1747,1812
39,Brooklyn,Canarsie,17625,1351802,9475,9639
40,Brooklyn,Carroll Gardens,2807,313219,4984,8483
41,Manhattan,Central Harlem,9841,1100189,98038,139799
42,Manhattan,Central Harlem North,18173,1700415,70378,75784
43,Manhattan,Central Park,2335,201381,21832,385318
44,Staten Island,Charleston/Tottenville,9820,46455,61,958
45,Manhattan,Chinatown,4608,293126,577,36762
46,Bronx,City Island,737,34303,510,317
47,Bronx,Claremont/Bathgate,13649,642904,4444,3696
48,Manhattan,Clinton East,12232,1240714,432,730150
49,Brooklyn,Clinton Hill,5795,881415,12357,7575
50,Manhattan,Clinton West,3880,813137,292,196387
51,Bronx,Co-Op City,15915,566789,8379,5527
52,Brooklyn,Cobble Hill,1493,185031,13721,10841
53,Queens,College Point,12256,191550,804,1199
54,Brooklyn,Columbia Street,1001,76588,510,808
55,Brooklyn,Coney Island,23927,365221,8259,3810
56,Queens,Corona,48584,462121,4591,3989
57,Queens,Corona,2632,35709,285,311
58,Bronx,Country Club,1004,45580,189,163
59,Bronx,Crotona Park,559,30609,156,128
60,Bronx,Crotona Park East,6478,463791,2538,1911
61,Brooklyn,Crown Heights North,22571,2511608,21470,16356
62,Brooklyn,Crown Heights South,6502,639835,5450,4600
63,Brooklyn,Cypress Hills,5799,554520,2234,3292
64,Queens,Douglaston,1204,72962,506,1232
65,Brooklyn,Downtown Brooklyn/MetroTech,5507,644692,36225,24891
66,Brooklyn,DUMBO/Vinegar Hill,1336,452843,17647,7947
67,Brooklyn,Dyker Heights,4348,236864,1386,1099
68,Manhattan,East Chelsea,11435,1147986,512,559942
69,Bronx,East Concourse/Concourse Village,20214,1019810,9400,6484
70,Queens,East Elmhurst,19558,302229,2278,18244
71,Brooklyn,East Flatbush/Farragut,12878,794285,6707,5646
72,Brooklyn,East Flatbush/Remsen Village,15707,1017753,7116,6709
73,Queens,East Flushing,13121,148935,529,546
74,Manhattan,East Harlem North,24385,1293798,144491,150097
75,Manhattan,East Harlem South,23776,1101349,125059,298017
76,Brooklyn,East New York,20572,1933525,13417,16120
77,Brooklyn,East New York/Pennsylvania Avenue,9724,581424,3721,4405
78,Bronx,East Tremont,23423,815675,4763,3947
79,Manhattan,East Village,5552,1828994,235,568176
80,Brooklyn,East Williamsburg,3240,1056377,5827,7128
81,Bronx,Eastchester,6287,466682,3404,2712
82,Queens,Elmhurst,41808,1025367,53352,12394
83,Queens,Elmhurst/Maspeth,7470,283653,6888,2855
84,Staten Island,Eltingville/Annadale/Prince's Bay,4887,52244,23,81
85,Brooklyn,Erasmus,5049,563484,3959,3648
