PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
1,EWR,Newark Airport,2129,2450,18,3015
2,Queens,Jamaica Bay,31,508,4,13
3,Bronx,Allerton/Pelham Gardens,6263,404807,1827,1705
4,Manhattan,Alphabet City,5362,621716,261,38121
5,Staten Island,Arden Heights,2639,45928,174,115
6,Staten Island,Arrochar/Fort Wadsworth,10042,90988,55,75
7,Queens,Astoria,46342,1725116,22109,27607
8,Queens,Astoria Park,228,7231,56,225
9,Queens,Auburndale,10304,140195,776,1541
10,Queens,Baisley Park,5864,637751,3321,9894
11,Brooklyn,Bath Beach,6964,189448,1249,979
12,Manhattan,Battery Park,114,20631,3,10310
13,Manhattan,Battery Park City,5933,776229,62,161027
14,Brooklyn,Bay Ridge,10314,946961,4648,4646
15,Queens,Bay Terrace/Fort Totten,16824,109602,346,953
16,Queens,Bayside,14288,317255,709,1812
17,Brooklyn,Bedford,8122,1620382,6921,8718
18,Bronx,Bedford Park,10208,895273,3162,3000
19,Queens,Bellerose,1832,136514,809,1118
20,Bronx,Belmont,6879,552536,1918,1923
21,Brooklyn,Bensonhurst East,13387,455328,1633,1820
22,Brooklyn,Bensonhurst West,11661,607951,2365,2851
23,Staten Island,Bloomfield/Emerson Hill,10121,248940,952,829
24,Manhattan,Bloomingdale,1207,269747,5099,116732
25,Brooklyn,Boerum Hill,6250,931128,11249,16937
26,Brooklyn,Borough Park,11616,872873,3123,3797
27,Queens,Breezy Point/Fort Tilden/Riis Beach,378,14662,38,78
28,Queens,Briarwood/Jamaica Hills,4820,413333,2030,2872
29,Brooklyn,Brighton Beach,35679,354720,1955,2192
30,Queens,Broad Channel,134,8691,13,34
31,Bronx,Bronx Park,962,87851,395,566
32,Bronx,Bronxdale,6736,500719,2361,2313
33,Brooklyn,Brooklyn Heights,6677,806136,13114,20528
34,Brooklyn,Brooklyn Navy Yard,155,143790,348,748
35,Brooklyn,Brownsville,14875,1300638,6523,8240
36,Brooklyn,Bushwick North,4297,1346555,1754,4049
37,Brooklyn,Bushwick South,9901,2062198,3308,7821
38,Queens,Cambria Heights,1446,203854,946,1688
39,Brooklyn,Canarsie,26617,1499760,6567,8394
40,Brooklyn,Carroll Gardens,2478,423763,1767,6145
41,Manhattan,Central Harlem,7614,1224140,58946,145455
42,Manhattan,Central Harlem North,18386,1793453,39869,66955
43,Manhattan,Central Park,1866,285370,17641,557238
44,Staten Island,Charleston/Tottenville,7726,64072,81,1337
45,Manhattan,Chinatown,4884,387527,341,38432
46,Bronx,City Island,506,39943,393,282
47,Bronx,Claremont/Bathgate,10342,683707,3754,4612
48,Manhattan,Clinton East,10895,1680834,481,880679
49,Brooklyn,Clinton Hill,5465,1058960,6315,7803
50,Manhattan,Clinton West,4830,1037391,308,232469
51,Bronx,Co-Op City,11350,713000,6356,5631
52,Brooklyn,Cobble Hill,1355,247385,5438,8204
53,Queens,College Point,9973,238163,406,946
54,Brooklyn,Columbia Street,744,92838,271,707
55,Brooklyn,Coney Island,26699,474770,5864,4981
56,Queens,Corona,48700,542828,2854,3031
57,Queens,Corona,2845,39502,291,381
58,Bronx,Country Club,502,55772,109,148
59,Bronx,Crotona Park,242,26193,99,105
60,Bronx,Crotona Park East,4299,477602,1668,1736
61,Brooklyn,Crown Heights North,24096,2680527,14166,14392
62,Brooklyn,Crown Heights South,7002,702937,3824,4052
63,Brooklyn,Cypress Hills,4666,630680,1421,2412
64,Queens,Douglaston,1281,98697,235,1388
65,Brooklyn,Downtown Brooklyn/MetroTech,4913,739989,20726,24755
66,Brooklyn,DUMBO/Vinegar Hill,1436,581799,3831,8365
67,Brooklyn,Dyker Heights,3573,287199,1113,1046
68,Manhattan,East Chelsea,12489,1737875,555,724723
69,Bronx,East Concourse/Concourse Village,15602,952913,6313,5683
70,Queens,East Elmhurst,16148,359661,1245,79736
71,Brooklyn,East Flatbush/Farragut,11223,884890,4476,4256
72,Brooklyn,East Flatbush/Remsen Village,14573,1072600,5206,5547
73,Queens,East Flushing,16754,172444,280,477
74,Manhattan,East Harlem North,17308,1390619,107325,151610
75,Manhattan,East Harlem South,19587,1197479,94201,320661
76,Brooklyn,East New York,19074,2197612,8686,13292
77,Brooklyn,East New York/Pennsylvania Avenue,7116,640340,2500,3306
78,Bronx,East Tremont,14894,815043,3120,3806
79,Manhattan,East Village,12086,2468442,291,775824
80,Brooklyn,East Williamsburg,4120,1344851,2619,8301
81,Bronx,Eastchester,4630,532912,2195,2604
82,Queens,Elmhurst,42222,1256039,20859,7075
83,Queens,Elmhurst/Maspeth,7731,350894,3626,2143
84,Staten Island,Eltingville/Annadale/Prince's Bay,5000,66649,36,59
85,Brooklyn,Erasmus,4995,623923,2511,2925
86,Queens,Far Rockaway,11706,361692,1995,2398
87,Manhattan,Financial District North,7097,1061378,263,154212
