PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
1,EWR,Newark Airport,2882,25,53,10126
2,Queens,Jamaica Bay,41,512,2,30
3,Bronx,Allerton/Pelham Gardens,6063,427624,134,580
4,Manhattan,Alphabet City,10008,734792,17,49408
5,Staten Island,Arden Heights,4841,56469,6,598
6,Staten Island,Arrochar/Fort Wadsworth,12070,99322,3,176
7,Queens,Astoria,43289,2112768,25340,24371
8,Queens,Astoria Park,242,7469,21,280
9,Queens,Auburndale,8434,171446,148,389
10,Queens,Baisley Park,8264,681290,582,13848
11,Brooklyn,Bath Beach,7083,223542,109,525
13,Manhattan,Battery Park City,13330,1033409,17,232224
14,Brooklyn,Bay Ridge,18980,1095260,947,2351
15,Queens,Bay Terrace/Fort Totten,15369,133118,76,344
16,Queens,Bayside,12948,400081,185,557
17,Brooklyn,Bedford,19095,1754880,2500,5188
18,Bronx,Bedford Park,9766,921238,728,1121
19,Queens,Bellerose,3747,164565,66,713
20,Bronx,Belmont,6041,586345,423,664
21,Brooklyn,Bensonhurst East,15283,515581,454,843
22,Brooklyn,Bensonhurst West,14903,677556,341,1035
23,Staten Island,Bloomfield/Emerson Hill,20688,301137,18,1246
24,Manhattan,Bloomingdale,2461,309113,6570,126792
25,Brooklyn,Boerum Hill,16630,1185161,7935,18853
26,Brooklyn,Borough Park,19606,1014816,303,1233
27,Queens,Breezy Point/Fort Tilden/Riis Beach,472,16235,14,22
28,Queens,Briarwood/Jamaica Hills,6377,494138,941,2995
29,Brooklyn,Brighton Beach,35810,387027,615,960
30,Queens,Broad Channel,155,8972,2,127
31,Bronx,Bronx Park,1183,78337,138,254
32,Bronx,Bronxdale,6976,504987,213,685
33,Brooklyn,Brooklyn Heights,13601,993195,11596,25003
34,Brooklyn,Brooklyn Navy Yard,526,179780,316,1075
35,Brooklyn,Brownsville,27121,1226576,687,2012
36,Brooklyn,Bushwick North,8110,1674435,1152,3667
37,Brooklyn,Bushwick South,19377,2349078,1389,5487
38,Queens,Cambria Heights,3326,222665,119,1029
39,Brooklyn,Canarsie,37781,1471954,457,2864
40,Brooklyn,Carroll Gardens,2809,515911,1468,6297
41,Manhattan,Central Harlem,15733,1362209,58524,118359
42,Manhattan,Central Harlem North,28951,1918561,30386,42367
43,Manhattan,Central Park,3774,358092,25454,665894
44,Staten Island,Charleston/Tottenville,11611,77256,16,418
45,Manhattan,Chinatown,10278,550162,31,51980
46,Bronx,City Island,812,40120,17,115
47,Bronx,Claremont/Bathgate,10263,673176,642,1167
48,Manhattan,Clinton East,20836,2325498,59,1206218
49,Brooklyn,Clinton Hill,13220,1248543,3145,6326
50,Manhattan,Clinton West,12246,1374238,17,299683
51,Bronx,Co-Op City,13113,755823,483,2637
52,Brooklyn,Cobble Hill,2097,315645,3772,9498
53,Queens,College Point,8856,278918,372,575
54,Brooklyn,Columbia Street,820,115015,232,743
55,Brooklyn,Coney Island,33157,513573,3527,1706
56,Queens,Corona,35833,596131,914,2064
57,Queens,Corona,1511,43838,191,124
58,Bronx,Country Club,399,65679,9,53
59,Bronx,Crotona Park,319,24385,22,30
60,Bronx,Crotona Park East,4842,457275,637,585
61,Brooklyn,Crown Heights North,48543,2814727,4086,7861
62,Brooklyn,Crown Heights South,15309,734297,858,2234
63,Brooklyn,Cypress Hills,7841,633742,202,953
64,Queens,Douglaston,3207,129059,56,863
65,Brooklyn,Downtown Brooklyn/MetroTech,13029,948522,21156,30398
66,Brooklyn,DUMBO/Vinegar Hill,4080,764687,8574,13308
67,Brooklyn,Dyker Heights,5651,343039,193,635
68,Manhattan,East Chelsea,24628,2602507,74,991548
69,Bronx,East Concourse/Concourse Village,16549,996051,2030,2153
70,Queens,East Elmhurst,12725,442935,799,152215
71,Brooklyn,East Flatbush/Farragut,17416,884305,557,1456
72,Brooklyn,East Flatbush/Remsen Village,22956,1045841,531,1898
73,Queens,East Flushing,12013,200784,271,254
74,Manhattan,East Harlem North,24053,1459343,143134,107280
75,Manhattan,East Harlem South,28986,1303913,106106,266588
76,Brooklyn,East New York,42225,2200864,1059,3929
77,Brooklyn,East New York/Pennsylvania Avenue,13264,599394,279,765
78,Bronx,East Tremont,12706,844356,579,1458
79,Manhattan,East Village,24980,3203664,37,1024357
80,Brooklyn,East Williamsburg,11882,1740071,2723,10289
81,Bronx,Eastchester,6442,546913,337,792
82,Queens,Elmhurst,33668,1397442,24520,4891
83,Queens,Elmhurst/Maspeth,6545,428183,4546,1904
84,Staten Island,Eltingville/Annadale/Prince's Bay,10705,85239,2,16
85,Brooklyn,Erasmus,8519,640667,490,1192
86,Queens,Far Rockaway,18679,374692,157,1465
87,Manhattan,Financial District North,16129,1463593,29,231092
88,Manhattan,Financial District South,14383,550125,11,108991
89,Brooklyn,Flatbush/Ditmas Park,31289,1673499,1110,3869
90,Manhattan,Flatiron,13802,1594949,60,670331
91,Brooklyn,Flatlands,21055,996704,623,2129
92,Queens,Flushing,66063,997987,5155,1928
93,Queens,Flushing Meadows-Corona Park,1950,161608,3906,6452
94,Bronx,Fordham South,5052,425386,445,565
95,Queens,Forest Hills,24795,1313524,34475,4518
96,Queens,Forest Park/Highland Park,363,28176,99,115
97,Brooklyn,Fort Greene,22487,1334378,22106,17006
98,Queens,Fresh Meadows,3696,180624,230,443
