PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
1,EWR,Newark Airport,11499,25,38,5107
3,Bronx,Allerton/Pelham Gardens,3743,488093,100,836
4,Manhattan,Alphabet City,9812,774316,13,47518
6,Staten Island,Arrochar/Fort Wadsworth,20838,117524,4,413
7,Queens,Astoria,47299,2257566,19252,20771
8,Queens,Astoria Park,229,8476,13,188
9,Queens,Auburndale,7486,193461,138,607
10,Queens,Baisley Park,7158,780350,304,12184
11,Brooklyn,Bath Beach,5772,248712,96,619
13,Manhattan,Battery Park City,15840,1070505,4,222778
14,Brooklyn,Bay Ridge,14792,1182357,520,3118
15,Queens,Bay Terrace/Fort Totten,13199,155559,43,420
16,Queens,Bayside,11359,437609,98,636
17,Brooklyn,Bedford,25915,1898669,1339,5420
18,Bronx,Bedford Park,6287,1014396,403,1556
19,Queens,Bellerose,2828,192780,89,973
20,Bronx,Belmont,3613,655810,312,856
21,Brooklyn,Bensonhurst East,12514,563068,408,1001
22,Brooklyn,Bensonhurst West,11614,752582,193,1291
23,Staten Island,Bloomfield/Emerson Hill,42483,345300,8,675
24,Manhattan,Bloomingdale,3181,335030,5486,96968
25,Brooklyn,Boerum Hill,15352,1322066,5428,15770
26,Brooklyn,Borough Park,13786,1165459,249,1397
27,Queens,Breezy Point/Fort Tilden/Riis Beach,274,15799,7,25
28,Queens,Briarwood/Jamaica Hills,7392,548642,608,3755
29,Brooklyn,Brighton Beach,32218,414565,420,1238
30,Queens,Broad Channel,144,10726,1,43
31,Bronx,Bronx Park,729,88583,78,227
32,Bronx,Bronxdale,4927,548456,139,1274
33,Brooklyn,Brooklyn Heights,12613,1078968,7710,19337
34,Brooklyn,Brooklyn Navy Yard,1573,178077,211,805
35,Brooklyn,Brownsville,19243,1371398,449,3337
36,Brooklyn,Bushwick North,14350,1820937,1154,3696
37,Brooklyn,Bushwick South,26525,2508851,835,5405
38,Queens,Cambria Heights,2358,255970,63,1401
39,Brooklyn,Canarsie,24452,1638898,388,4302
40,Brooklyn,Carroll Gardens,3342,528743,674,4889
41,Manhattan,Central Harlem,10925,1492580,42881,89573
42,Manhattan,Central Harlem North,15742,2091304,20474,34589
43,Manhattan,Central Park,3629,360833,32486,630303
45,Manhattan,Chinatown,11157,609987,25,53560
46,Bronx,City Island,493,43143,15,116
47,Bronx,Claremont/Bathgate,5899,745419,501,1458
48,Manhattan,Clinton East,26958,2394849,14,1020565
