Zone,matched_demographic_region,PULocationID,TimeFrame,Data,match_score,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
allerton/pelham gardens,pelham parkway,3,2019.0,125155.0,86.0,3,Bronx,allerton/pelham gardens,42514,434962,6854,2426
astoria,astoria,7,2019.0,166069.0,100.0,7,Queens,astoria,268194,2284990,250356,119932
astoria park,astoria,8,2019.0,166069.0,90.0,8,Queens,astoria park,1203,9059,105,1162
baisley park,battery park/tribeca,10,2019.0,66437.96901,86.0,10,Queens,baisley park,55228,632352,9040,32707
battery park,battery park/tribeca,12,2019.0,66437.96901,90.0,12,Manhattan,battery park,4256,39074,22,37004
battery park city,park slope,13,2019.0,114043.0,86.0,13,Manhattan,battery park city,143552,1248718,115,738874
bay ridge,bay ridge,14,2019.0,121925.0,100.0,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bay terrace/fort totten,bay ridge,15,2019.0,121925.0,86.0,15,Queens,bay terrace/fort totten,36253,143136,2214,1737
bayside,bayside,16,2019.0,114562.0,100.0,16,Queens,bayside,56883,461406,4854,2769
bedford,bedford park,17,2019.0,151684.0,90.0,17,Brooklyn,bedford,187134,2071716,41662,16853
bedford park,bedford park,18,2019.0,151684.0,100.0,18,Bronx,bedford park,100294,1024049,12673,3318
bensonhurst east,bensonhurst,21,2019.0,186959.0,95.0,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
bensonhurst west,bensonhurst,22,2019.0,186959.0,95.0,22,Brooklyn,bensonhurst west,71223,733614,10972,4553
boerum hill,murray hill/stuyvesant,25,2019.0,148482.0,86.0,25,Brooklyn,boerum hill,126292,1312069,117015,73460
borough park,borough park,26,2019.0,153470.0,100.0,26,Brooklyn,borough park,102890,1065609,15046,7173
breezy point/fort tilden/riis beach,hunts point,27,2019.0,53365.84532,86.0,27,Queens,breezy point/fort tilden/riis beach,649,18477,189,168
bronx park,bronx,31,2019.0,1418207.0,90.0,31,Bronx,bronx park,12047,93036,2351,619
bronxdale,bronx,32,2019.0,1418207.0,90.0,32,Bronx,bronxdale,50181,512639,9164,3248
brooklyn heights,brooklyn,33,2019.0,2559903.0,90.0,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
brooklyn navy yard,brooklyn,34,2019.0,2559903.0,90.0,34,Brooklyn,brooklyn navy yard,16880,191234,2081,1960
brownsville,brownsville,35,2019.0,128369.0,100.0,35,Brooklyn,brownsville,114400,1281724,26012,10946
bushwick north,bushwick,36,2019.0,127550.0,90.0,36,Brooklyn,bushwick north,200579,1950479,15110,7955
bushwick south,bushwick,37,2019.0,127550.0,90.0,37,Brooklyn,bushwick south,236764,2575964,18072,15533
canarsie,canarsie,39,2019.0,196895.0,100.0,39,Brooklyn,canarsie,146173,1610372,26058,11762
central harlem,central harlem,41,2019.0,136351.0,100.0,41,Manhattan,central harlem,148752,1585162,341774,322815
central harlem north,central harlem,42,2019.0,136351.0,95.0,42,Manhattan,central harlem north,196041,2052716,211286,145211
central park,battery park/tribeca,43,2019.0,66437.96901,86.0,43,Manhattan,central park,76094,422747,64220,1313080
charleston/tottenville,tottenville,44,2019.0,161358.0,90.0,44,Staten Island,charleston/tottenville,15693,66190,25,397
clinton hill,murray hill/stuyvesant,49,2019.0,148482.0,86.0,49,Brooklyn,clinton hill,145158,1556548,52384,21348
cobble hill,murray hill/stuyvesant,52,2019.0,148482.0,86.0,52,Brooklyn,cobble hill,32567,350809,52436,42591
coney island,coney island,55,2019.0,115277.0,100.0,55,Brooklyn,coney island,47213,440761,26044,4074
corona,elmhurst/corona,56,2019.0,156074.0,90.0,56,Queens,corona,134033,620094,16006,8559
corona,elmhurst/corona,57,2019.0,156074.0,90.0,57,Queens,corona,5922,49978,909,293
crotona park,battery park/tribeca,59,2019.0,66437.96901,86.0,59,Bronx,crotona park,3569,31611,510,209
crotona park east,east harlem,60,2019.0,111452.0,86.0,60,Bronx,crotona park east,47608,486979,6440,2195
crown heights north,crown heights north,61,2019.0,128327.0,100.0,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,2019.0,106258.0,100.0,62,Brooklyn,crown heights south,85765,887772,17999,7912
cypress hills,rego park/forest hills,63,2019.0,105586.0,86.0,63,Brooklyn,cypress hills,55774,656530,6220,3546
downtown brooklyn/metrotech,brooklyn,65,2019.0,2559903.0,90.0,65,Brooklyn,downtown brooklyn/metrotech,101074,1203438,137843,100031
east concourse/concourse village,greenwich village,69,2019.0,98076.03099,86.0,69,Bronx,east concourse/concourse village,141669,1205261,27095,9688
east flushing,flushing,73,2019.0,239869.0,90.0,73,Queens,east flushing,38096,236933,1861,676
east harlem north,east harlem,74,2019.0,111452.0,90.0,74,Manhattan,east harlem north,165358,1694788,468595,328911
east harlem south,east harlem,75,2019.0,111452.0,90.0,75,Manhattan,east harlem south,166316,1453221,377766,622175
east new york,east new york,76,2019.0,180811.0,100.0,76,Brooklyn,east new york,178985,2093773,41656,19623
east new york/pennsylvania avenue,east new york,77,2019.0,180811.0,90.0,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
east tremont,east tremont,78,2019.0,88324.45096,100.0,78,Bronx,east tremont,94899,884432,12885,4295
east williamsburg,east harlem,80,2019.0,111452.0,86.0,80,Brooklyn,east williamsburg,160543,2055863,32426,28516
