PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
1,EWR,Newark Airport,7420,9,19,4198
3,Bronx,Allerton/Pelham Gardens,5370,388591,50,1272
4,Manhattan,Alphabet City,5347,560283,17,51991
7,Queens,Astoria,33831,1720832,10056,21016
8,Queens,Astoria Park,163,8141,6,172
9,Queens,Auburndale,6376,151754,56,589
10,Queens,Baisley Park,10518,580380,182,11545
11,Brooklyn,Bath Beach,6330,190310,59,869
12,Manhattan,Battery Park,129,20817,1,13168
13,Manhattan,Battery Park City,8242,801405,18,187976
14,Brooklyn,Bay Ridge,13608,925914,177,4603
15,Queens,Bay Terrace/Fort Totten,4165,122963,39,558
16,Queens,Bayside,7295,339006,70,846
17,Brooklyn,Bedford,16447,1488753,763,9249
18,Bronx,Bedford Park,6549,810065,140,1974
19,Queens,Bellerose,3768,153458,80,1324
20,Bronx,Belmont,3746,511320,101,1383
21,Brooklyn,Bensonhurst East,13275,436641,137,1549
22,Brooklyn,Bensonhurst West,10856,578610,129,2240
23,Staten Island,Bloomfield/Emerson Hill,35381,264468,2,129
24,Manhattan,Bloomingdale,1930,252499,3495,77651
25,Brooklyn,Boerum Hill,10623,1041357,2570,16065
26,Brooklyn,Borough Park,12226,877270,144,2959
27,Queens,Breezy Point/Fort Tilden/Riis Beach,272,16189,4,155
28,Queens,Briarwood/Jamaica Hills,7462,433080,292,4282
29,Brooklyn,Brighton Beach,33897,327967,242,2245
30,Queens,Broad Channel,191,11202,1,76
31,Bronx,Bronx Park,1025,71638,35,261
32,Bronx,Bronxdale,6770,430898,69,1418
33,Brooklyn,Brooklyn Heights,9446,853162,4770,20940
34,Brooklyn,Brooklyn Navy Yard,1064,167256,181,1670
35,Brooklyn,Brownsville,18401,1075070,280,8104
36,Brooklyn,Bushwick North,8511,1433830,471,5881
37,Brooklyn,Bushwick South,16433,1940122,323,9442
38,Queens,Cambria Heights,4800,209908,39,1632
39,Brooklyn,Canarsie,22118,1299867,195,10757
40,Brooklyn,Carroll Gardens,2243,405119,271,5317
41,Manhattan,Central Harlem,9979,1172615,22186,86895
42,Manhattan,Central Harlem North,14908,1620908,10459,43977
43,Manhattan,Central Park,2077,267585,24313,468936
